ID,Pop,SubPop,Time
HN19,H,hybrid,0
HN2,H,hybrid,0
HN20,H,hybrid,0
HN21,H,hybrid,0
HN22,H,hybrid,0
HN23,H,hybrid,0
HN25,H,hybrid,0
HN27,H,hybrid,0
HN28,H,hybrid,0
HN29,H,hybrid,0
HN3,H,hybrid,0
HN30,H,hybrid,0
HN4,H,hybrid,0
HN5,H,hybrid,0
HN6,H,hybrid,0
HN7,H,hybrid,0
HN8,H,hybrid,0
HN9,H,hybrid,0
K5_10_al,H,hybrid,0
K5_1_al,H,hybrid,0
K5_2_al,H,hybrid,0
K5_3_al,H,hybrid,0
K5_4_al,H,hybrid,0
K5_5_al,H,hybrid,0
K5_6_al,H,hybrid,0
K5_7_al,H,hybrid,0
K5_8_al,H,hybrid,0
K5_9_al,H,hybrid,0
KL1_10_bond,H,hybrid,0
KL1_1_bond,H,hybrid,0
KL1_2_bond,H,hybrid,0
KL1_3_bond,H,hybrid,0
KL1_4_bond,H,hybrid,0
KL1_5_bond,H,hybrid,0
KL1_6_bond,H,hybrid,0
KL1_7_bond,H,hybrid,0
KL1_8_bond,H,hybrid,0
KL1_9_bond,H,hybrid,0
KL2_10_bond,H,hybrid,0
KL2_1_bond,H,hybrid,0
KL2_2_bond,H,hybrid,0
KL2_3_bond,H,hybrid,0
KL2_4_bond,H,hybrid,0
KL2_5_bond,H,hybrid,0
KL2_6_bond,H,hybrid,0
KL2_7_bond,H,hybrid,0
KL2_8_bond,H,hybrid,0
KL2_9_bond,H,hybrid,0
Ligustica_ITA11A,C,ligustica,0
Ligustica_ITA12A,C,ligustica,0
Ligustica_ITA18A,C,ligustica,0
Ligustica_ITA1A,C,ligustica,0
Ligustica_ITA24A,C,ligustica,0
Ligustica_ITA25A,C,ligustica,0
Ligustica_ITA26A,C,ligustica,0
Ligustica_ITA28A,C,ligustica,0
Ligustica_ITA30A,C,ligustica,0
Ligustica_ITA6A,C,ligustica,0
MEL03,M,mellifera,0
Mellifera_OU10,M,mellifera,0
Mellifera_OU11,M,mellifera,0
Mellifera_OU12,M,mellifera,0
Mellifera_OU13,M,mellifera,0
Mellifera_OU14,M,mellifera,0
Mellifera_OU15,M,mellifera,0
Mellifera_OU16,M,mellifera,0
Mellifera_OU17,M,mellifera,0
Mellifera_OU18,M,mellifera,0
Mellifera_OU19,M,mellifera,0
Mellifera_OU20,M,mellifera,0
Mellifera_OU21,M,mellifera,0
Mellifera_OU22,M,mellifera,0
Mellifera_OU23,M,mellifera,0
Mellifera_OU24,M,mellifera,0
Mellifera_OU25,M,mellifera,0
Mellifera_OU26,M,mellifera,0
Mellifera_OU27,M,mellifera,0
Mellifera_OU28,M,mellifera,0
Mellifera_OU29,M,mellifera,0
Mellifera_OU3,M,mellifera,0
Mellifera_OU30,M,mellifera,0
Mellifera_OU4,M,mellifera,0
Mellifera_OU5,M,mellifera,0
Mellifera_OU6,M,mellifera,0
Mellifera_OU7,M,mellifera,0
Mellifera_OU8,M,mellifera,0
Mellifera_OU9,M,mellifera,0
N1_10_al,H,hybrid,0
N1_1_al,H,hybrid,0
N1_2_al,H,hybrid,0
N1_4_al,H,hybrid,0
N1_5_al,H,hybrid,0
N1_6_al,H,hybrid,0
N1_7_al,H,hybrid,0
N1_8_al,H,hybrid,0
N1_9_al,H,hybrid,0
N4_10_al,H,hybrid,0
N4_1_al,H,hybrid,0
N4_2_al,H,hybrid,0
N4_3_al,H,hybrid,0
N4_4_al,H,hybrid,0
N4_5_al,H,hybrid,0
N4_6_al,H,hybrid,0
N4_7_al,H,hybrid,0
N4_8_al,H,hybrid,0
N4_9_al,H,hybrid,0
NB1_10_al,H,hybrid,0
NB1_1_al,H,hybrid,0
NB1_2_al,H,hybrid,0
NB1_3_al,H,hybrid,0
NB1_4_al,H,hybrid,0
NB1_5_al,H,hybrid,0
NB1_6_al,H,hybrid,0
NB1_7_al,H,hybrid,0
NB1_8_al,H,hybrid,0
NB1_9_al,H,hybrid,0
NW1_10_bond,H,hybrid,0
NW1_1_bond,H,hybrid,0
NW1_2_bond,H,hybrid,0
NW1_3_bond,H,hybrid,0
NW1_4_bond,H,hybrid,0
NW1_5_bond,H,hybrid,0
NW1_6_bond,H,hybrid,0
NW1_7_bond,H,hybrid,0
NW1_8_bond,H,hybrid,0
NW1_9_bond,H,hybrid,0
NW3_2_bond,H,hybrid,0
NW3_3_bond,H,hybrid,0
NW3_4_bond,H,hybrid,0
NW3_5_bond,H,hybrid,0
NW3_6_bond,H,hybrid,0
NW3_8_bond,H,hybrid,0
NW3_9_bond,H,hybrid,0
NW4_10_bond,H,hybrid,0
NW4_1_bond,H,hybrid,0
NW4_2_bond,H,hybrid,0
NW4_3_bond,H,hybrid,0
NW4_4_bond,H,hybrid,0
NW4_5_bond,H,hybrid,0
NW4_6_bond,H,hybrid,0
NW4_8_bond,H,hybrid,0
NW4_9_bond,H,hybrid,0
NW5_10_bond,H,hybrid,0
NW5_1_bond,H,hybrid,0
NW5_2_bond,H,hybrid,0
NW5_3_bond,H,hybrid,0
NW5_4_bond,H,hybrid,0
NW5_5_bond,H,hybrid,0
NW5_6_bond,H,hybrid,0
NW5_7_bond,H,hybrid,0
NW5_8_bond,H,hybrid,0
NW5_9_bond,H,hybrid,0
POR15,H,hybrid,0
POR7,H,hybrid,0
REUd1,H,hybrid,0
REUd10,H,hybrid,0
REUd11,H,hybrid,0
REUd12,H,hybrid,0
REUd13,H,hybrid,0
REUd14,H,hybrid,0
REUd15,H,hybrid,0
REUd16,H,hybrid,0
REUd17,H,hybrid,0
REUd18,H,hybrid,0
REUd19,H,hybrid,0
REUd2,H,hybrid,0
REUd20,H,hybrid,0
REUd21,H,hybrid,0
REUd23,H,hybrid,0
REUd24,H,hybrid,0
REUd25,H,hybrid,0
REUd26,H,hybrid,0
REUd28,H,hybrid,0
REUd29,H,hybrid,0
REUd3,H,hybrid,0
REUd30,H,hybrid,0
REUd4,H,hybrid,0
REUd5,H,hybrid,0
REUd6,H,hybrid,0
REUd7,H,hybrid,0
REUd8,H,hybrid,0
REUd9,H,hybrid,0
REUh103,H,hybrid,0
REUh12,H,hybrid,0
REUh2,H,hybrid,0
REUh29,H,hybrid,0
REUh4,H,hybrid,0
REUh8,H,hybrid,0
RJ1,H,hybrid,0
RJ10,H,hybrid,0
RJ11,H,hybrid,0
RJ12,H,hybrid,0
RJ14,H,hybrid,0
RJ15,H,hybrid,0
RJ16,H,hybrid,0
RJ17,H,hybrid,0
RJ18,H,hybrid,0
RJ19,H,hybrid,0
RJ2,H,hybrid,0
RJ20,H,hybrid,0
RJ21,H,hybrid,0
RJ22,H,hybrid,0
RJ23,H,hybrid,0
RJ24,H,hybrid,0
RJ26,H,hybrid,0
RJ29,H,hybrid,0
RJ3,H,hybrid,0
RJ30,H,hybrid,0
RJ4,H,hybrid,0
RJ5,H,hybrid,0
RJ6,H,hybrid,0
RJ7,H,hybrid,0
RJ8,H,hybrid,0
RJ9,H,hybrid,0
ROD11,H,hybrid,0
ROD50,H,hybrid,0
S101,H,hybrid,0
S102,H,hybrid,0
S103,H,hybrid,0
S104,H,hybrid,0
S105,H,hybrid,0
S111,H,hybrid,0
S112,H,hybrid,0
S113,H,hybrid,0
S114,H,hybrid,0
S115,H,hybrid,0
S121,H,hybrid,0
S122,H,hybrid,0
S123,H,hybrid,0
S124,H,hybrid,0
S125,H,hybrid,0
S131,H,hybrid,0
S132,H,hybrid,0
S133,H,hybrid,0
S134,H,hybrid,0
S135,H,hybrid,0
S141,H,hybrid,0
S142,H,hybrid,0
S143,H,hybrid,0
S144,H,hybrid,0
S145,H,hybrid,0
S151,H,hybrid,0
S152,H,hybrid,0
S153,H,hybrid,0
S154,H,hybrid,0
S155,H,hybrid,0
S161,H,hybrid,0
S162,H,hybrid,0
